59482.47
  %   cumulative   self              self     total
 time   seconds   seconds    calls  ms/call  ms/call  name
 28.07     2.86      2.86    10353     0.28     0.58  Array#each
 16.09     4.50      1.64    10002     0.16     0.60  Kernel.loop
  4.61     4.97      0.47    10002     0.05     0.69  CSV#shift
  4.42     5.42      0.45        1   450.00  8390.00  CSV#each
  3.14     5.74      0.32    40417     0.01     0.01  String#==
  3.04     6.05      0.31    31182     0.01     0.01  String#=~
  2.55     6.31      0.26    40007     0.01     0.01  String#empty?
  2.45     6.56      0.25    11905     0.02     0.32  Class#new
  2.16     6.78      0.22    43386     0.01     0.01  Hash#[]
  2.06     6.99      0.21    30420     0.01     0.01  Array#<<
  2.06     7.20      0.21    10001     0.02     0.02  String#sub!
  1.96     7.40      0.20    30003     0.01     0.01  String#[]
  1.86     7.59      0.19    30959     0.01     0.01  Array#empty?
  1.37     7.73      0.14     1032     0.14     0.29  Rational#convert
  0.98     7.83      0.10    10131     0.01     0.01  Fixnum#div
  0.98     7.93      0.10     7373     0.01     0.02  Kernel.===
  0.98     8.03      0.10       82     1.22     4.88  Kernel.gem_original_require
  0.98     8.13      0.10     1010     0.10     0.16  Rational#-
  0.88     8.22      0.09     1010     0.09     0.37  Numeric#divmod
  0.79     8.30      0.08    13047     0.01     0.01  String#split
  0.79     8.38      0.08     2414     0.03     0.04  Kernel.initialize_dup
  0.79     8.46      0.08    10928     0.01     0.01  Module#===
  0.69     8.53      0.07    10002     0.01     0.01  CSV#header_row?
  0.69     8.60      0.07      504     0.14     0.38  Gem::Requirement#initialize
  0.59     8.66      0.06     1011     0.06     0.52  Object#round
  0.59     8.72      0.06      337     0.18     0.62  Gem::Dependency#initialize
  0.59     8.78      0.06      336     0.18     0.83  Gem::Specification#add_dependency_with_type
  0.59     8.84      0.06     7109     0.01     0.01  BasicObject#==
  0.59     8.90      0.06    11781     0.01     0.01  Fixnum#+
  0.59     8.96      0.06    10003     0.01     0.01  IO#gets
  0.59     9.02      0.06    10004     0.01     0.01  Array#initialize
  0.49     9.07      0.05     1010     0.05     0.07  Numeric#div
  0.49     9.12      0.05      134     0.37    10.30  Gem::Specification#initialize
  0.49     9.17      0.05      139     0.36     0.86  Gem::Version#<=>
  0.49     9.22      0.05     4424     0.01     0.01  Kernel.instance_variable_set
  0.39     9.26      0.04     2020     0.02     0.02  Rational#to_f
  0.39     9.30      0.04     3259     0.01     0.01  String#to_i
  0.39     9.34      0.04     2413     0.02     0.05  Kernel.dup
  0.39     9.38      0.04      134     0.30    10.60  Kernel.eval
  0.39     9.42      0.04      907     0.04     0.14  Gem::Version#initialize
  0.39     9.46      0.04      331     0.12     0.18  Array#map
  0.39     9.50      0.04     1010     0.04     0.07  Object#find_conversion
  0.29     9.53      0.03     2020     0.01     0.02  Rational#floor
  0.29     9.56      0.03      269     0.11     0.11  Gem::Specification#full_name
  0.29     9.59      0.03     1461     0.02     0.02  Regexp#=~
  0.29     9.62      0.03     1547     0.02     0.02  Module#method_added
  0.29     9.65      0.03      502     0.06     0.30  Gem::Requirement#create
  0.29     9.68      0.03      907     0.03     0.09  Gem::Version#correct?
  0.29     9.71      0.03     2695     0.01     0.01  Fixnum#==
  0.29     9.74      0.03     1010     0.03     0.05  Rational#<=>
  0.20     9.76      0.02     1010     0.02     0.04  Rational#==
  0.20     9.78      0.02     1005     0.02     0.04  Rational#+
  0.20     9.80      0.02        1    20.00    50.00  Array#sort
  0.20     9.82      0.02      980     0.02     0.02  Kernel.respond_to_missing?
  0.20     9.84      0.02      945     0.02     0.02  Numeric#nonzero?
  0.20     9.86      0.02      134     0.15     0.22  Time#local
  0.20     9.88      0.02      505     0.04     0.22  Gem::Requirement#parse
  0.20     9.90      0.02     3048     0.01     0.01  MatchData#[]
  0.20     9.92      0.02     1032     0.02     0.31  Kernel.Rational
  0.20     9.94      0.02     1016     0.02     0.02  MatchData#post_match
  0.10     9.95      0.01     3037     0.00     0.00  Rational#/
  0.10     9.96      0.01      270     0.04     0.04  Kernel.untaint
  0.10     9.97      0.01       21     0.48     0.48  Gem::Specification#attribute
  0.10     9.98      0.01      123     0.08     0.81  Gem::Specification#add_runtime_dependency
  0.10     9.99      0.01      945     0.01     0.01  String#<=>
  0.10    10.00      0.01      135     0.07     0.07  File#directory?
  0.10    10.01      0.01      136     0.07     0.07  IO#read
  0.10    10.02      0.01      134     0.07     0.07  Gem::Specification#files=
  0.10    10.03      0.01      134     0.07     0.37  Gem::Version#create
  0.10    10.04      0.01     1434     0.01     0.01  Kernel.class
  0.10    10.05      0.01       88     0.11     0.11  Array#select
  0.10    10.06      0.01        6     1.67     1.67  Hash#merge!
  0.10    10.07      0.01      273     0.04     0.04  Fixnum#<=>
  0.10    10.08      0.01       29     0.34     0.34  Module#attr_reader
  0.10    10.09      0.01       85     0.12     0.12  Gem::GemPathSearcher#matching_files
  0.10    10.10      0.01      275     0.04     0.04  String#scan
  0.10    10.11      0.01     2446     0.00     0.00  String#to_s
  0.10    10.12      0.01     1609     0.01     0.01  Array#initialize_copy
  0.10    10.13      0.01      134     0.07     0.22  Gem::GemPathSearcher#lib_dirs_for
  0.10    10.14      0.01     1010     0.01     0.06  Comparable.>
  0.10    10.15      0.01     1160     0.01     0.01  Fixnum#-
  0.10    10.16      0.01     3151     0.00     0.00  Fixnum#*
  0.10    10.17      0.01      361     0.03     0.03  Array#length
  0.10    10.18      0.01     1239     0.01     0.01  Symbol#==
  0.10    10.19      0.01     1022     0.01     0.01  String#to_sym
  0.00    10.19      0.00        8     0.00     0.00  CSV#encode_str
  0.00    10.19      0.00      505     0.00     0.00  Array#uniq!
  0.00    10.19      0.00      860     0.00     0.00  Array#flatten
  0.00    10.19      0.00        7     0.00     0.00  Gem::Specification#required_attribute
  0.00    10.19      0.00      504     0.00     0.02  Array#==
  0.00    10.19      0.00      327     0.00     0.00  Hash#[]=
  0.00    10.19      0.00       31     0.00     0.00  String#intern
  0.00    10.19      0.00      365     0.00     0.00  Array#first
  0.00    10.19      0.00        1     0.00     0.00  Time#-
  0.00    10.19      0.00        1     0.00     0.00  Fixnum#%
  0.00    10.19      0.00      907     0.00     0.00  String#strip!
  0.00    10.19      0.00        1     0.00     0.00  Time#gmt_offset
  0.00    10.19      0.00      135     0.00     0.00  Bignum#<=>
  0.00    10.19      0.00      504     0.00     0.22  Array#map!
  0.00    10.19      0.00        1     0.00     0.00  Time#at
  0.00    10.19      0.00        7     0.00     0.00  Gem::Requirement#default
  0.00    10.19      0.00       10     0.00     0.00  Gem::Specification#array_attribute
  0.00    10.19      0.00        1     0.00     0.00  Gem::Specification#read_only
  0.00    10.19      0.00        5     0.00     0.00  Gem::Specification#attribute_alias_singular
  0.00    10.19      0.00       14     0.00     0.00  Module#method_removed
  0.00    10.19      0.00       14     0.00     0.00  Module#remove_method
  0.00    10.19      0.00       14     0.00     0.00  Gem::Specification#overwrite_accessor
  0.00    10.19      0.00        3     0.00     0.00  ENV.[]
  0.00    10.19      0.00        5     0.00     0.00  Array#compact
  0.00    10.19      0.00        2     0.00     0.00  Time#to_i
  0.00    10.19      0.00        1     0.00     0.00  Gem.set_home
  0.00    10.19      0.00        1     0.00     0.00  Gem.dir
  0.00    10.19      0.00        1     0.00     0.00  Gem.set_paths
  0.00    10.19      0.00        1     0.00     0.00  Gem.path
  0.00    10.19      0.00      223     0.00     0.00  File#join
  0.00    10.19      0.00        2     0.00     0.00  Array#collect
  0.00    10.19      0.00        1     0.00     0.00  Gem::SourceIndex#installed_spec_directories
  0.00    10.19      0.00       70     0.00     0.00  Hash#each
  0.00    10.19      0.00        1     0.00     0.00  Gem::SourceIndex#initialize
  0.00    10.19      0.00        1     0.00     0.00  Hash#clear
  0.00    10.19      0.00        1     0.00     0.00  Dir#glob
  0.00    10.19      0.00      136     0.00     0.00  File#file?
  0.00    10.19      0.00      536     0.00     0.00  String#initialize_copy
  0.00    10.19      0.00      137     0.00     0.00  Fixnum#divmod
  0.00    10.19      0.00        1     0.00     0.00  Time#now
  0.00    10.19      0.00        1     0.00     0.00  Time#initialize
  0.00    10.19      0.00      149     0.00     0.00  Array#join
  0.00    10.19      0.00      134     0.00     0.00  Kernel.binding
  0.00    10.19      0.00       22     0.00     0.00  Hash#keys
  0.00    10.19      0.00        1     0.00     0.00  Module#autoload
  0.00    10.19      0.00        2     0.00     0.00  String#end_with?
  0.00    10.19      0.00        1     0.00     0.00  Exception#message
  0.00    10.19      0.00      268     0.00     0.00  Kernel.initialize_copy
  0.00    10.19      0.00      134     0.00     5.30  Gem::Specification#assign_defaults
  0.00    10.19      0.00      136     0.00     0.00  Kernel.block_given?
  0.00    10.19      0.00      749     0.00     0.01  Kernel.respond_to?
  0.00    10.19      0.00        1     0.00     0.00  Exception#to_s
  0.00    10.19      0.00      134     0.00     0.00  Gem::Version#prerelease?
  0.00    10.19      0.00        1     0.00     0.00  Exception#set_backtrace
  0.00    10.19      0.00      588     0.00     0.00  Kernel.Array
  0.00    10.19      0.00      131     0.00     0.00  Gem::Specification#authors=
  0.00    10.19      0.00        1     0.00     0.00  Exception#backtrace
  0.00    10.19      0.00        1     0.00     0.00  Exception#exception
  0.00    10.19      0.00        1     0.00     0.00  Exception#initialize
  0.00    10.19      0.00      134     0.00     0.00  String#strip
  0.00    10.19      0.00      270     0.00     0.00  String#gsub
  0.00    10.19      0.00       76     0.00     0.00  Gem::Specification#test_files=
  0.00    10.19      0.00       18     0.00     0.00  Kernel.lambda
  0.00    10.19      0.00        1     0.00     0.00  Encoding#find
  0.00    10.19      0.00      276     0.00     0.22  Gem::Version#segments
  0.00    10.19      0.00      277     0.00     0.00  Array#size
  0.00    10.19      0.00      141     0.00     0.00  Fixnum#>
  0.00    10.19      0.00      274     0.00     0.00  Fixnum#<=
  0.00    10.19      0.00      551     0.00     0.00  Array#[]
  0.00    10.19      0.00        3     0.00     0.00  Forwardable.def_instance_delegators
  0.00    10.19      0.00       38     0.00     0.00  Forwardable.def_instance_delegator
  0.00    10.19      0.00      134     0.00     0.90  Comparable.>=
  0.00    10.19      0.00       45     0.00     0.00  Regexp#quote
  0.00    10.19      0.00        6     0.00     0.00  Array#delete
  0.00    10.19      0.00      134     0.00    10.82  Gem::Specification#load
  0.00    10.19      0.00        1     0.00     0.00  Enumerable.each_with_index
  0.00    10.19      0.00      134     0.00     0.00  Gem::SourceIndex#add_spec
  0.00    10.19      0.00        8     0.00     0.00  Gem::Specification#requirements=
  0.00    10.19      0.00        1     0.00     0.00  Module#attr_writer
  0.00    10.19      0.00      380     0.00     0.00  Array#last
  0.00    10.19      0.00      337     0.00     0.00  Array#pop
  0.00    10.19      0.00       31     0.00     0.00  Module#define_method
  0.00    10.19      0.00      359     0.00     0.00  Array#include?
  0.00    10.19      0.00        7     0.00     0.00  String#+
  0.00    10.19      0.00      337     0.00     0.00  Gem::Specification#dependencies
  0.00    10.19      0.00        7     0.00     0.00  String#downcase
  0.00    10.19      0.00        8     0.00     1.25  Date#once
  0.00    10.19      0.00       86     0.00     0.00  Gem::Specification#extra_rdoc_files=
  0.00    10.19      0.00       80     0.00     0.00  Gem::Specification#rdoc_options=
  0.00    10.19      0.00      213     0.00     0.89  Gem::Specification#add_development_dependency
  0.00    10.19      0.00       45     0.00     0.00  Gem::Specification#executables=
  0.00    10.19      0.00       22     0.00     0.00  Gem::Specification#extensions=
  0.00    10.19      0.00        6     0.00     0.00  Gem::Specification#licenses=
  0.00    10.19      0.00       11     0.00     0.00  String#===
  0.00    10.19      0.00        2     0.00     0.00  Array#shift
  0.00    10.19      0.00        8     0.00     0.00  Regexp#===
  0.00    10.19      0.00        2     0.00     0.00  Gem::Platform#initialize
  0.00    10.19      0.00        2     0.00     0.00  Gem::Platform#new
  0.00    10.19      0.00        3     0.00     0.00  Gem::Platform#to_a
  0.00    10.19      0.00        3     0.00     0.00  Gem::Platform#to_s
  0.00    10.19      0.00        2     0.00     0.00  Gem::Platform#==
  0.00    10.19      0.00        2     0.00     0.00  String#to_str
  0.00    10.19      0.00        1     0.00  1470.00  Array#reverse_each
  0.00    10.19      0.00        1     0.00  1470.00  Gem::SourceIndex#load_gems_in
  0.00    10.19      0.00        1     0.00  1470.00  Gem::SourceIndex#refresh!
